player_id,draft_year,horizon_years,outcome_through,nhl_games,nhl_points,nhl_toi_minutes,goalie_starts,value_proxy,source,source_id,source_url
2017-116-bryce-misley,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480204,https://api-web.nhle.com/v1/player/8480204/landing
2017-117-emil-bemstrom,2017,3,2020-06-30,56,20,686.9,0,,nhl_public_api,8480205,https://api-web.nhle.com/v1/player/8480205/landing
2017-118-markus-phillips,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480206,https://api-web.nhle.com/v1/player/8480206/landing
2017-119-roope-laavainen,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480207,https://api-web.nhle.com/v1/player/8480207/landing
2017-120-tobias-geisser,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480283,https://api-web.nhle.com/v1/player/8480283/landing
2017-121-drake-batherson,2017,3,2020-06-30,43,19,626.4,0,,nhl_public_api,8480208,https://api-web.nhle.com/v1/player/8480208/landing
2017-122-kyle-olson,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480209,https://api-web.nhle.com/v1/player/8480209/landing
2017-123-brandon-crawley,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479027,https://api-web.nhle.com/v1/player/8479027/landing
2017-124-vladislav-kara,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480284,https://api-web.nhle.com/v1/player/8480284/landing
2017-125-igor-shvyrev,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480210,https://api-web.nhle.com/v1/player/8480210/landing
2017-126-michael-karow,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480211,https://api-web.nhle.com/v1/player/8480211/landing
2017-127-lucas-elvenes,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480044,https://api-web.nhle.com/v1/player/8480044/landing
2017-128-tyler-steenbergen,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480212,https://api-web.nhle.com/v1/player/8480212/landing
2017-129-gilles-senn,2017,3,2020-06-30,2,0,70.1,1,,nhl_public_api,8480213,https://api-web.nhle.com/v1/player/8480213/landing
2017-130-david-noel,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480214,https://api-web.nhle.com/v1/player/8480214/landing
2017-131-cole-fraser,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480215,https://api-web.nhle.com/v1/player/8480215/landing
2017-132-jacob-peterson,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480216,https://api-web.nhle.com/v1/player/8480216/landing
2017-133-tyler-inamoto,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480065,https://api-web.nhle.com/v1/player/8480065/landing
2017-134-cole-hults,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480217,https://api-web.nhle.com/v1/player/8480217/landing
2017-135-kristoffer-gunnarsson,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480218,https://api-web.nhle.com/v1/player/8480218/landing
2017-136-leon-gawanke,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480219,https://api-web.nhle.com/v1/player/8480219/landing
2017-137-noah-cates,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480220,https://api-web.nhle.com/v1/player/8480220/landing
2017-138-drake-rymsha,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480221,https://api-web.nhle.com/v1/player/8480221/landing
2017-139-sebastian-aho,2017,3,2020-06-30,22,4,357.5,0,,nhl_public_api,8480222,https://api-web.nhle.com/v1/player/8480222/landing
2017-140-zach-fischer,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480223,https://api-web.nhle.com/v1/player/8480223/landing
2017-141-fedor-gordeev,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480224,https://api-web.nhle.com/v1/player/8480224/landing
2017-142-jack-dugan,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480225,https://api-web.nhle.com/v1/player/8480225/landing
2017-143-mari-n-studenic,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480226,https://api-web.nhle.com/v1/player/8480226/landing
2017-144-parker-foo,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480227,https://api-web.nhle.com/v1/player/8480227/landing
2017-145-calle-sjalin,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480228,https://api-web.nhle.com/v1/player/8480228/landing
2017-146-kirill-maksimov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480229,https://api-web.nhle.com/v1/player/8480229/landing
2017-147-jacob-golden,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480230,https://api-web.nhle.com/v1/player/8480230/landing
2017-148-kale-howarth,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480046,https://api-web.nhle.com/v1/player/8480046/landing
