player_id,season,league,team,games,goals,assists,points,age,timing,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
2024-084-kirill-zarubin,2023-24,MHL,Mikhailov Academy U20,29,0,0,0,,pre_draft,true,open-stats,2024-mhl-regular-mikhailov-kirill-zarubin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150919,1597,947,894,53,0.944,1.99,15,7,,5
2024-086-luca-marrelli,2023-24,OHL,OSH,21,2,11,13,,pre_draft,false,chl,8543,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-086-luca-marrelli,2023-24,OHL,OSH,67,6,51,57,,pre_draft,true,chl,8543,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-087-miguel-marques,2023-24,WHL,LET,2,0,1,1,,pre_draft,false,chl,29072,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-087-miguel-marques,2023-24,WHL,LET,67,28,46,74,,pre_draft,true,chl,29072,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-089-tomas-lavoie,2023-24,QMJHL,Cap,14,1,2,3,,pre_draft,false,chl,19515,https://chl.ca/lhjmq/en/stats/players/206/all/points,,,,,,,,,,
2024-089-tomas-lavoie,2023-24,QMJHL,Cap,65,3,21,24,,pre_draft,true,chl,19515,https://chl.ca/lhjmq/en/stats/players/205/all/points,,,,,,,,,,
2024-090-eriks-mateiko,2023-24,QMJHL,SNB,49,23,20,43,,pre_draft,true,chl,19775,https://chl.ca/lhjmq/en/stats/players/205/all/points,,,,,,,,,,
2024-091-herman-tr-ff,2023-24,HockeyAllsvenskan,Västerås IK,8,1,2,3,,pre_draft,true,swehockey,hermantraff,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14678,,,,,,,,,,
2024-091-herman-tr-ff,2023-24,SHL,HV 71,10,0,0,0,,pre_draft,true,swehockey,hermantraff,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677,,,,,,,,,,
