player_id,name,matched,source_name,source_id,source_url,team,games,goals,assists,points,regular_season
2024-172-patrick-geary,Patrick Geary,false,,,,,,,,,
2024-173-ilya-pautov,Ilya Pautov,false,,,,,,,,,
2024-174-stevie-leskovar,Stevie Leskovar,false,,,,,,,,,
2024-175-joona-v-is-nen,Joona Väisänen,true,Joona Vaisanen,10167,https://ushl.com/ht/#/player/10167/84/Joona%20Vaisanen,DBQ,11,1,2,3,false
2024-175-joona-v-is-nen,Joona Väisänen,true,Joona Vaisanen,10167,https://ushl.com/ht/#/player/10167/82/Joona%20Vaisanen,DBQ,53,9,31,40,true
2024-176-charlie-forslund,Charlie Forslund,false,,,,,,,,,
2024-177-eric-jamieson,Eric Jamieson,false,,,,,,,,,
2024-178-petr-sikora,Petr Sikora,false,,,,,,,,,
2024-179-xavier-veilleux,Xavier Veilleux,true,Xavier Veilleux,9982,https://ushl.com/ht/#/player/9982/84/Xavier%20Veilleux,MUS,7,1,4,5,false
2024-179-xavier-veilleux,Xavier Veilleux,true,Xavier Veilleux,9982,https://ushl.com/ht/#/player/9982/82/Xavier%20Veilleux,MUS,62,3,29,32,true
2024-180-trent-swick,Trent Swick,false,,,,,,,,,
2024-181-kaden-pitre,Kaden Pitre,false,,,,,,,,,
2024-182-austin-burnevik,Austin Burnevik,true,Austin Burnevik,9275,https://ushl.com/ht/#/player/9275/84/Austin%20Burnevik,MAD,3,2,0,2,false
2024-182-austin-burnevik,Austin Burnevik,true,Austin Burnevik,9275,https://ushl.com/ht/#/player/9275/82/Austin%20Burnevik,MAD,61,40,31,71,true
2024-183-albin-sundin,Albin Sundin,false,,,,,,,,,
2024-184-roman-shokhrin,Roman Shokhrin,false,,,,,,,,,
2024-185-tory-pitner,Tory Pitner,true,Tory Pitner,9917,https://ushl.com/ht/#/player/9917/84/Tory%20Pitner,YNG,7,1,0,1,false
2024-185-tory-pitner,Tory Pitner,true,Tory Pitner,9917,https://ushl.com/ht/#/player/9917/82/Tory%20Pitner,YNG,50,8,16,24,true
2024-186-loke-johansson,Loke Johansson,false,,,,,,,,,
2024-187-kieron-walton,Kieron Walton,false,,,,,,,,,
2024-188-fyodor-avramov,Fyodor Avramov,false,,,,,,,,,
2024-189-parker-alcos,Parker Alcos,false,,,,,,,,,
2024-190-ludvig-lafton,Ludvig Lafton,false,,,,,,,,,
2024-191-rico-gredig,Rico Gredig,false,,,,,,,,,
2024-192-dalyn-wakely,Dalyn Wakely,false,,,,,,,,,
2024-193-hunter-st-martin,Hunter St. Martin,false,,,,,,,,,
2024-194-yaroslav-korostelyov,Yaroslav Korostelyov,false,,,,,,,,,
2024-195-joe-connor,Joe Connor,true,Joe Connor,9994,https://ushl.com/ht/#/player/9994/84/Joe%20Connor,MUS,8,3,2,5,false
2024-195-joe-connor,Joe Connor,true,Joe Connor,9994,https://ushl.com/ht/#/player/9994/82/Joe%20Connor,MUS,50,31,29,60,true
2024-196-william-nicholl,William Nicholl,false,,,,,,,,,
2024-197-lucas-van-vliet,Lucas Van Vliet,true,Lucas Van Vliet,9903,https://ushl.com/ht/#/player/9903/82/Lucas%20Van%20Vliet,NTDP,19,4,4,8,true
2024-198-james-reeder,James Reeder,true,James Reeder,9655,https://ushl.com/ht/#/player/9655/84/James%20Reeder,DBQ,11,1,4,5,false
2024-198-james-reeder,James Reeder,true,James Reeder,9655,https://ushl.com/ht/#/player/9655/82/James%20Reeder,DBQ,53,20,40,60,true
2024-199-noah-steen,Noah Steen,false,,,,,,,,,
2024-200-matt-lahey,Matt Lahey,false,,,,,,,,,
2024-201-denis-gabdrakhmanov,Denis Gabdrakhmanov,false,,,,,,,,,
2024-202-jakub-fibigr,Jakub Fibigr,false,,,,,,,,,
2024-203-austin-baker,Austin Baker,true,Austin Baker,9902,https://ushl.com/ht/#/player/9902/82/Austin%20Baker,NTDP,25,10,4,14,true
2024-204-vasily-zelenov,Vasily Zelenov,false,,,,,,,,,
2024-205-austin-moline,Austin Moline,false,,,,,,,,,
2024-206-harrison-meneghin,Harrison Meneghin,false,,,,,,,,,
2024-207-mac-swanson,Mac Swanson,true,Mac Swanson,9674,https://ushl.com/ht/#/player/9674/84/Mac%20Swanson,FGO,12,5,12,17,false
2024-207-mac-swanson,Mac Swanson,true,Mac Swanson,9674,https://ushl.com/ht/#/player/9674/82/Mac%20Swanson,FGO,55,26,51,77,true
