player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2017-149-jarret-tyszka,Jarret Tyszka,,CAN,D,,188,85,,nhl_draft_api,2017-149,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-150-jakub-galvas,Jakub Galvas,,CZE,D,,180,73,,nhl_draft_api,2017-150,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-151-sebastian-walfridsson,Sebastian Walfridsson,,SWE,D,,183,88,,nhl_draft_api,2017-151,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-152-jan-drozg,Jan Drozg,,SVN,LW,,183,79,,nhl_draft_api,2017-152,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-153-olle-eriksson-ek,Olle Eriksson Ek,,SWE,G,,188,81,,nhl_draft_api,2017-153,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-154-tomas-vomacka,Tomas Vomacka,,CZE,G,,190,75,,nhl_draft_api,2017-154,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-155-linus-olund,Linus Olund,,SWE,C,,180,84,,nhl_draft_api,2017-155,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-156-denis-smirnov,Denis Smirnov,,RUS,RW,,173,84,,nhl_draft_api,2017-156,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-157-dominik-lakatos,Dominik Lakatos,,CZE,C,,183,81,,nhl_draft_api,2017-157,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-158-nick-campoli,Nick Campoli,,CAN,C,,180,86,,nhl_draft_api,2017-158,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-159-jacob-mcgrew,Jacob McGrew,,USA,RW,,175,86,,nhl_draft_api,2017-159,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-160-aarne-talvitie,Aarne Talvitie,,FIN,C,,178,90,,nhl_draft_api,2017-160,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-161-jiri-patera,Jiri Patera,,CZE,G,,185,95,,nhl_draft_api,2017-161,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-162-john-adams,John Adams,,USA,RW,,196,93,,nhl_draft_api,2017-162,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-163-brett-davis,Brett Davis,,CAN,RW,,183,81,,nhl_draft_api,2017-163,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-164-reilly-webb,Reilly Webb,,CAN,D,,190,88,,nhl_draft_api,2017-164,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-165-arnaud-durandeau,Arnaud Durandeau,,CAN,LW,,178,83,,nhl_draft_api,2017-165,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-166-brendan-de-jong,Brendan De Jong,,CAN,D,,196,87,,nhl_draft_api,2017-166,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-167-arvid-holm,Arvid Holm,,SWE,G,,193,97,,nhl_draft_api,2017-167,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-168-olle-lycksell,Olle Lycksell,,SWE,RW,,178,74,,nhl_draft_api,2017-168,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-169-nick-perbix,Nick Perbix,,USA,D,,188,87,,nhl_draft_api,2017-169,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-170-jonathan-davidsson,Jonathan Davidsson,,SWE,RW,,180,84,,nhl_draft_api,2017-170,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-171-d-artagnan-joly,D'Artagnan Joly,,CAN,RW,,188,79,,nhl_draft_api,2017-171,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-172-ryan-mcgregor,Ryan McGregor,,CAN,C,,180,71,,nhl_draft_api,2017-172,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-173-cedric-pare,Cedric Pare,,CAN,C,,188,93,,nhl_draft_api,2017-173,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-174-morgan-barron,Morgan Barron,,CAN,C,,188,91,,nhl_draft_api,2017-174,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-175-trenton-bourque,Trenton Bourque,,CAN,D,,185,91,,nhl_draft_api,2017-175,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-176-pavel-koltygin,Pavel Koltygin,,RUS,C,,183,86,,nhl_draft_api,2017-176,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-177-skyler-brind-amour,Skyler Brind'Amour,,USA,C,,188,77,,nhl_draft_api,2017-177,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-178-andrei-svetlakov,Andrei Svetlakov,,RUS,C,,183,92,,nhl_draft_api,2017-178,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-179-carson-meyer,Carson Meyer,,USA,RW,,178,82,,nhl_draft_api,2017-179,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-180-cole-guttman,Cole Guttman,,USA,C,,173,76,,nhl_draft_api,2017-180,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-181-petrus-palmu,Petrus Palmu,,FIN,RW,,168,79,,nhl_draft_api,2017-181,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-182-benton-maass,Benton Maass,,USA,D,,185,84,,nhl_draft_api,2017-182,https://api-web.nhle.com/v1/draft/picks/2017/all
