source_id,enabled,draft_year,adapter,league,season,stage,source_url,cache_path,source_label
2015-whl-regular,false,2015,chl,WHL,2014-15,regular,https://chl.ca/whl/stats/players/249/all/points,data/raw/cache/chl_stats/whl_2014_15_s249_regular_players.html,chl
2015-ncaa-uscho-combined,true,2015,ncaa,NCAA,2014-15,regular,https://www.uscho.com/stats/overall/division-i-men/2014-2015,data/raw/cache/ncaa_stats/ncaa_2014_15_uscho.html,uscho:combined
2015-russia-reviewed-open-stats,true,2015,open_csv,,2014-15,regular,,data/reference/russian_open_stats_2015.csv,reviewed-russian-open-stats
2015-ushl-playoffs-goalies,true,2015,ushl,USHL,2014-15,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=47&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2014_15_s47_playoffs_goalies.json,47:goalies
2015-ushl-playoffs-skaters,true,2015,ushl,USHL,2014-15,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=47&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2014_15_s47_playoffs_skaters.json,47:skaters
2015-ushl-regular-goalies,true,2015,ushl,USHL,2014-15,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=45&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2014_15_s45_regular_goalies.json,45:goalies
2015-ushl-regular-skaters,true,2015,ushl,USHL,2014-15,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=45&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2014_15_s45_regular_skaters.json,45:skaters
2016-ohl-playoffs,false,2016,chl,OHL,2015-16,playoffs,https://chl.ca/ohl/stats/players/55/all/points,data/raw/cache/chl_stats/ohl_2015_16_s55_playoffs_players.html,chl
2016-ohl-regular,false,2016,chl,OHL,2015-16,regular,https://chl.ca/ohl/stats/players/54/all/points,data/raw/cache/chl_stats/ohl_2015_16_s54_regular_players.html,chl
2016-qmjhl-playoffs,false,2016,chl,QMJHL,2015-16,playoffs,https://chl.ca/lhjmq/en/stats/players/182/all/points,data/raw/cache/chl_stats/qmjhl_2015_16_s182_playoffs_players.html,chl
